name,lat,lng,status,npsn,bentuk,telp,alamat,kelurahan,kecamatan
SDN 001 MERDEKA KOTA BANDUNG,-6.915600000000,107.610000000000,Negeri,20245231,SD,0224231251,Jl. Merdeka No. 9,Braga,Kec. Sumur Bandung
SDN 002 KARANGMULYA KOTA BANDUNG,-6.912500000000,107.580400000000,Negeri,20245212,SD,0226039074,Jl. Rajawali Sakti  No. 226,Dungus Cariang,Kec. Andir
SDN 003 PAGARSIH KOTA BANDUNG,-6.923100000000,107.594400000000,Negeri,20245064,SD,0226021395,Jl. Pagarsih No. 77,Cibadak,Kec. Astanaanyar
SDN 004 CISARANTEN KULON KOTA BANDUNG,-6.924800000000,107.683400000000,Negeri,20245530,SD,02287884871,Jl. Cisaranten Kulon No.129,Cisaranten Kulon,Kec. Arcamanik
SDN 005 BABAKAN CIPARAY KOTA BANDUNG,-6.948000000000,107.587600000000,Negeri,20245011,SD,02254418885,Jl. Kopo No. 440,Babakan Ciparay,Kec. Babakan Ciparay
SDN 006 BUAHBATU KOTA BANDUNG,-6.951700000000,107.640900000000,Negeri,20245122,SD,0227563975,Jl. H. Ibrahim Adjie No. 45,Cijaura,Kec. Buahbatu
SDN 007 CIPAGANTI KOTA BANDUNG,-6.894800000000,107.602900000000,Negeri,20245525,SD,0222043369,Jl. Sastra No. 11,Cipaganti,Kec. Coblong
SDN 008 MOHAMAD TOHA KOTA BANDUNG,-6.929900000000,107.606700000000,Negeri,20245238,SD,085861815888,Jl. Mohamad Toha No. 22,Pungkur,Kec. Regol
SDN 009 CIKADUT KOTA BANDUNG,-6.903800000000,107.665700000000,Negeri,20245520,SD,02263735415,Jl. A.H. Nasution Km.7 No. 1,Karang Pamulang,Kec. Mandalajati
SDN 010 CIDADAP KOTA BANDUNG,-6.864500000000,107.594500000000,Negeri,20245138,SD,0022082005741,Jl. Dr. Setiabudhi No. 234,Ledeng,Kec. Cidadap
SDN 011 CIBUNTU KOTA BANDUNG,-6.919200000000,107.576200000000,Negeri,20244743,SD,6044334,Jl. Holis No.31,Warung Muncang,Kec. Bandung Kulon
SDN 012 BABAKAN CIPARAY KOTA BANDUNG,-6.945300000000,107.583400000000,Negeri,20245013,SD,082130168612,Jl. Caringin No.106,Babakan Ciparay,Kec. Babakan Ciparay
SDN 013 PASIRKALIKI KOTA BANDUNG,-6.907900000000,107.597800000000,Negeri,20245742,SD,02263196084,Jalan HOS Cokroaminoto No. 110,Pasirkaliki,Kec. Cicendo
SDN 014 CIGONDEWAH KOTA BANDUNG,-6.934500000000,107.563500000000,Negeri,20244836,SD,02220567506,Jl. Cigondewah Kaler No. 15,Cigondewah Kaler,Kec. Bandung Kulon
SDN 015 KRESNA KOTA BANDUNG,-6.909800000000,107.592800000000,Negeri,20245706,SD,0226010996,Jl. Kresna No. 47,Arjuna,Kec. Cicendo
SDN 016 DR. CIPTO PAJAJARAN KOTA BANDUNG,-6.906700000000,107.599900000000,Negeri,20245566,SD,0224265015,Jl. Pajajaran No.58 / Dr. Cipto No.4,Pasirkaliki,Kec. Cicendo
SDN 017 SEKEJATI KOTA BANDUNG,-6.940500000000,107.653000000000,Negeri,20245760,SD,0895338960806,Jl. Cidurian Utara No.18,Sukapura,Kec. Kiaracondong
SDN 018 SUKAGALIH KOTA BANDUNG,-6.896100000000,107.602200000000,Negeri,20245266,SD,0222043130,Jl. Sukagalih No. 69,Sukabungah,Kec. Sukajadi
SDN 019 PABAKI KOTA BANDUNG,-6.927500000000,107.596000000000,Negeri,20245054,SD,0226074847,Jl. Pabaki No. 33,Panjunan,Kec. Astanaanyar
SDN 020 LENGKONG BESAR KOTA BANDUNG,-6.936000000000,107.620000000000,Negeri,20245219,SD,,Jl. Lengkong Besar No.139,Balong Gede,Kec. Regol
SDN 021 CIPOREAT KOTA BANDUNG,-6.917400000000,107.706200000000,Negeri,20245527,SD,7831464,Jl. A.H. Nasution No. 29,Pasanggrahan,Kec. Ujungberung
SDN 022 CICADAS KOTA BANDUNG,-6.905500000000,107.644100000000,Negeri,20245153,SD,,Jl. Cikutra No. 58,Padasuka,Kec. Cibeunying Kidul
SDN 023 PAJAGALAN KOTA BANDUNG,-6.926000000000,107.600500000000,Negeri,20244745,SD,081573129051,Jl. Pajagalan No. 58,Karang Anyar,Kec. Astanaanyar
SDN 024 COBLONG KOTA BANDUNG,-6.879500000000,107.616600000000,Negeri,20245546,SD,,Jl. Ir. H. Juanda No. 304,Dago,Kec. Coblong
SDN 025 CIKUTRA KOTA BANDUNG,-6.893400000000,107.637200000000,Negeri,20245172,SD,,Jl. Cikutra No.326,Neglasari,Kec. Cibeunying Kaler
SDN 026 BOJONGLOA KOTA BANDUNG,-6.950700000000,107.594000000000,Negeri,20244953,SD,0,Jl. Cibaduyut Raya No.142/199C,Kebon Lega,Kec. Bojong Loa Kidul
